"(vosotros) leéis","vous lisez","nouvelobs conjugaison leer présent"
"(ellos) leen","ils lisent","nouvelobs conjugaison leer présent"
"(yo) leeré","je lirai","nouvelobs conjugaison leer futur simple"
"(tú) leerás","tu liras","nouvelobs conjugaison leer futur simple"
"(él) leerá","il lira","nouvelobs conjugaison leer futur simple"
"(nosotros) leeremos","nous lirons","nouvelobs conjugaison leer futur simple"
"(vosotros) leeréis","vous lirez","nouvelobs conjugaison leer futur simple"
"(ellos) leerán","ils liront","nouvelobs conjugaison leer futur simple"
"(yo) leía","je lisais","nouvelobs conjugaison leer imparfait"
"(tú) leías","tu lisais","nouvelobs conjugaison leer imparfait"
"(él) leía","il lisait","nouvelobs conjugaison leer imparfait"
"(nosotros) leíamos","nous lisions","nouvelobs conjugaison leer imparfait"
"(vosotros) leíais","vous lisiez","nouvelobs conjugaison leer imparfait"
"(ellos) leían","ils lisaient","nouvelobs conjugaison leer imparfait"
